n,variabile,descrizione
1,PROFAM,progressivo famiglia
2,PROIND,numero d'ordine del componente
3,NCOMP,nï¿½ dei componenti la famiglia attuale
4,ANNO,anno della rilevazione
5,RELPAR,relazione di parentela con la persona di riferimento
7,SESSO,Sesso - scheda generale
9,STCPM,Stato civile precedente il matrimonio
10,AMATR,Anno del matrimonio
13,LAVPAS,Ha lavorato in passato
16,TIPNU2,Tipo nucleo 2
17,NUMNU2,Numero progressivo del nucleo nell'ambito della famiglia 2
18,RPNUC2,Relazione di parentela nell'ambito del nucleo 2
22,COEFIN,Per ottenere la stima espressa in unitï¿½ dividere per 10.000 (diecimila) Coefficiente di ripor
25,MOTAS,Motivo principale per cui frequenta il nido
26,DOMRIF,Motivo per cui non frequenta il nido: la domanda non ï¿½ stata accettata
27,MEMFAM,"Motivo per cui non frequenta il nido: lo segue un membro della famiglia, non ho problemi di org"
28,NIDLON,"Motivo per cui non frequenta il nido: l'asilo ï¿½ lontano, scomodo"
29,NODELE,Motivo per cui non frequenta il nido: non voglio delegare il compito educativo
30,MALAT,Motivo per cui non frequenta il nido: il bambino si ammalava troppo spesso
31,ABBAND,Motivo per cui non frequenta il nido: il bambino puï¿½ sentirsi abbandonato
32,NONVUO,Motivo per cui non frequenta il nido: il bambino non vuole andare
33,NOMED,Motivo per cui non frequenta il nido: lo ha sconsigliato un medico
34,TPICC,Motivo per cui non frequenta il nido: il bambino ï¿½ troppo piccolo
35,NDTROPPO,Motivo per cui non frequenta il nido: l'asilo costa troppo
36,ORARIS,Motivo per cui non frequenta il nido: l'asilo ha orari scomodi
37,ALNIDO,Motivo per cui non frequenta il nido: altro
38,LEZPR,Negli ultimi 12 mesi ha frequentato lezioni private o corsi: recupero scolastico
39,INFOR,Negli ultimi 12 mesi ha frequentato lezioni private o corsi: informatica
40,LING,Negli ultimi 12 mesi ha frequentato lezioni private o corsi: lingue
41,ARTCUL,Negli ultimi 12 mesi ha frequentato lezioni private o corsi: attivitï¿½ artistiche e\o cultural
42,USORA,"77=variabile per turni, 88=variabile per altra ragione, 99=non esco, lavoro in casa Orario abit"
43,USMIN,"77=variabile per turni, 88=variabile per altra ragione, 99=non esco, lavoro in casa Orario abit"
44,HHSCLA,99=variabile Tempo impiegato per andare al lavoro/scuola (ora)
45,MMSCLA,99=variabile Tempo impiegato per andare al lavoro/scuola (minuti)
46,DIVCOM,Per motivi di lavoro o di studio lei vive con una certa regolaritï¿½ prevalentemente in un comu
47,STCOM,Lavora o studia abitualmente nello stesso comune in cui risiede
48,STPROV,Lavora o studia abitualmente in un altro comune della stessa provincia
49,STREG,Lavora o studia abitualmente in un'altra provincia della stessa regione
50,ALTREG,Lavora o studia abitualmente in un'altra regione italiana
51,ESTERO,Lavora o studia abitualmente all'estero
52,USOMT,Uso di mezzo di trasporto pubblico e/o privato per andare a scuola o al lavoro
53,TRENO,Mezzo di trasporto usato per andare a scuola o al lavoro: treno
54,TRAM,Mezzo di trasporto usato per andare a scuola o al lavoro: tram
55,METRO,Mezzo di trasporto usato per andare a scuola o al lavoro: metropolitana
56,BUS,"Mezzo di trasporto usato per andare a scuola o al lavoro: autobus, filobus (all'interno del com"
57,COR,"Mezzo di trasporto usato per andare a scuola o al lavoro: pullman, corriera (tra comuni diversi"
58,PAZSC,Mezzo di trasporto usato per andare a scuola o al lavoro: pullman aziendale o scolastico
59,AUTOC,Mezzo di trasporto usato per andare a scuola o al lavoro: auto privata (come conducente)
60,AUTOP,Mezzo di trasporto usato per andare a scuola o al lavoro: auto privata (come passeggero)
61,MOTO,Mezzo di trasporto usato per andare a scuola o al lavoro: motocicletta o ciclomotore
62,BICI,Mezzo di trasporto usato per andare a scuola o al lavoro: bicicletta
63,ALMEZ,Mezzo di trasporto usato per andare a scuola o al lavoro: altro mezzo
64,MTPUSO,Mezzo di trasporto utilizzato nel tratto piï¿½ lungo per andare a scuola o al lavoro
65,CARPOO,Si organizza con colleghi/compagni di studio per andare a lavoro/scuola utilizzando una sola ve
66,HHFAM,00=non svolge attivitï¿½ Ore a settimana dedicate al lavoro domestico e di cura della famiglia
67,MMFAM,00=non svolge attivitï¿½ Minuti a settimana dedicati al lavoro domestico e di cura della famigl
68,HHLAV,00=non svolge attivitï¿½ Ore a settimana dedicate all'attivitï¿½ lavorativa
69,MMLAV,00=non svolge attivitï¿½ Minuti a settimana dedicati all'attivitï¿½ lavorativa
