cognome,frequenza
ROSSI,1512
BIANCHI,945
INNOCENTI,909
CONTI,775
GORI,764
MARTINI,692
RICCI,684
BARTOLINI,626
GALLI,596
CECCHI,596
FABBRI,592
MANETTI,591
HU,570
BERTI,556
CASINI,547
LANDI,541
LOMBARDI,527
MASINI,525
MASI,525
VANNINI,505
BALDINI,490
BINI,489
BALDI,483
CAPPELLI,482
BACCI,477
DEGL'INNOCENTI,466
MARTELLI,458
PAOLI,453
RUSSO,433
MANCINI,427
NOCENTINI,423
PIERI,412
PRATESI,411
BENVENUTI,410
BELLINI,402
GIUSTI,383
BARTOLI,378
BRUNI,367
PAOLETTI,365
PINI,363
POLI,361
PARIGI,356
CHEN,355
PECCHIOLI,353
MORI,348
BERTINI,347
MAZZONI,342
MORETTI,341
PAPINI,338
GIOVANNINI,337
GIANNINI,335
SARTI,335
CORTI,330
SALVADORI,329
ESPOSITO,327
SANTINI,325
ORLANDI,323
TADDEI,321
BIANCHINI,321
CORSI,314
MORELLI,314
GIORGI,312
ROMANO,312
TORRINI,310
CIPRIANI,301
WANG,295
BARBIERI,295
MARCHI,292
PUCCI,292
MUGNAI,291
ROMOLI,291
NARDI,290
WU,289
BENCINI,288
GIANNELLI,287
NESI,287
NERI,286
BARTOLOZZI,283
GUIDI,280
FANFANI,279
GRASSI,279
MORANDI,279
CANTINI,279
DONATI,277
POGGI,275
PARRINI,275
MINIATI,274
BENEDETTI,274
PACINI,271
CECCONI,270
ZHOU,270
DINI,267
MARIANI,267
GIULIANI,266
CECCARELLI,265
BIONDI,262
ERMINI,258
LAZZERI,258
MAGHERINI,255
VANNI,255
VENTURI,253
ZHANG,253
BONI,253
GUERRINI,252
BANDINELLI,250
MARINI,249
MUGNAINI,249
ZHENG,248
MARTINELLI,247
RINALDI,246
CAMBI,246
GRAZZINI,244
SABATINI,244
PELLEGRINI,243
RISTORI,242
UGOLINI,240
LIPPI,237
LOTTI,237
FALLANI,236
ROMAGNOLI,236
BETTI,232
BRUNO,232
BROGI,230
SUSINI,225
BANDINI,225
FANTECHI,223
FERRARI,223
PAMPALONI,223
NUTI,223
TOZZI,223
PAPI,222
MARIOTTI,221
PERINI,221
CIONI,220
FANTONI,220
DE LUCA,220
LIN,220
FUSI,219
CALAMAI,219
MEUCCI,217
NENCIONI,215
LEONI,214
BARONI,214
PICCIOLI,213
PINZAUTI,211
BALLERINI,210
BIAGINI,210
FERRINI,209
GIORGETTI,209
YANG,208
SANTONI,207
FOSSI,204
MARGHERI,203
FOCARDI,201
GUIDOTTI,200
BENELLI,200
CINI,198
MANNUCCI,198
MIGLIORINI,198
ROMANELLI,198
BELLI,197
BONECHI,195
GRECO,194
BERNI,194
POGGIALI,192
BIAGIOTTI,191
VOLPI,190
FONTANI,189
GALEOTTI,189
FRANCALANCI,188
TARCHI,188
BIGAZZI,188
BECATTINI,188
PISTOLESI,187
PARENTI,187
BIAGI,187
PERUZZI,186
SANTORO,186
SINGH,186
SPINELLI,186
MAZZANTI,185
PICCINI,185
AGOSTINI,184
LASCIALFARI,183
MATTEINI,183
VIGNOLI,182
CECCHINI,181
CELLAI,178
