COMUNE     LIVELLO    ESITO    TEMPO     NOTE
----------------------------------------------------------------
036005     K6C        ok       19s       tier 0 su comune
039010     K6C        ok       12s       tier 0 su comune
036040     K6C        ok       11s       tier 0 su comune
038004     K6C        ok       12s       tier 0 su comune
037011     K6C        ok       9s        tier 0 su comune
036015     K6C        ok       10s       tier 0 su comune
099013     K6C        ok       11s       tier 0 su comune
036006     K6C        ok       9s        tier 0 su comune
037054     K6C        ok       9s        tier 0 su comune
037061     K6C        ok       9s        tier 0 su comune
039012     K6C        ok       12s       tier 0 su comune
039007     K6C        ok       8s        tier 0 su comune
037053     K6C        ok       9s        tier 0 su comune
034014     K6C        ok       8s        tier 0 su comune
036046     K6C        ok       11s       tier 0 su comune
040008     K6C        ok       9s        tier 0 su comune
035040     K6C        ok       8s        tier 0 su comune
035020     K6C        ok       8s        tier 0 su comune
036022     K6C        ok       12s       tier 0 su comune
099018     K6C        ok       7s        tier 0 su comune
038006     K6C        ok       8s        tier 0 su comune
038001     K6C        ok       8s        tier 0 su comune
037020     K6C        ok       10s       tier 0 su comune
034032     K6C        ok       8s        tier 0 su comune
099001     K6C        ok       7s        tier 0 su comune
037060     K6C        ok       7s        tier 0 su comune
035012     K6C        ok       11s       tier 0 su comune
037008     K6C        ok       8s        tier 0 su comune
037019     K6C        ok       7s        tier 0 su comune
036030     K6C        ok       7s        tier 0 su comune
040045     K6C        ok       10s       tier 0 su comune
037047     K6C        ok       8s        tier 0 su comune
036019     K6C        ok       7s        tier 0 su comune
037037     K6C        ok       7s        tier 0 su comune
099002     K6C        ok       7s        tier 0 su comune
036013     K6C        ok       10s       tier 0 su comune
039002     K6C        ok       7s        tier 0 su comune
036027     K6C        ok       8s        tier 0 su comune
037039     K6C        ok       7s        tier 0 su comune
038007     K6C        ok       10s       tier 0 su comune
036012     K6C        ok       7s        tier 0 su comune
036044     K6C        ok       8s        tier 0 su comune
035014     K6C        ok       7s        tier 0 su comune
036007     K6C        ok       7s        tier 0 su comune
033021     K6C        ok       9s        tier 0 su comune
034009     K6C        ok       7s        tier 0 su comune
037057     K6C        ok       7s        tier 0 su comune
035024     K6C        ok       7s        tier 0 su comune
035036     K6C        ok       7s        tier 0 su comune
037046     K6C        ok       10s       tier 0 su comune
033013     K6C        ok       7s        tier 0 su comune
